name,dividend_yield_ttm,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,price,gdp_per_capita_usd,gdp_growth_percent,inflation_percent,interest_rate_percent,unemployment_rate_percent,exchange_rate_to_usd,inflation,interest_rate,unemployment,pc_class
Celulosa Argentina,0.0,Argentina,93080444.32,11413446491.589346,-111.458,516240502.345,1.13074035673284,8.5,-2.8,147.5,97.0,9.5,350.0,-147.5,-97.0,-9.5,0
Ternium Argentina,0.0,Argentina,532027018.4,3920463613.085744,7.23422,2851000671.8524,0.867917651125188,8.5,-2.8,147.5,97.0,9.5,350.0,-147.5,-97.0,-9.5,0
Magazine Luíza,0.0,Brazil,-293807071.8,1280654144.8126438,-69.6012,9369012583.1456,1.73988072116008,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
Grayscale Bitcoin Trust,0.0,United States,0.0,34401364967.08463,0.0,0.0,49.68639209752,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
fuboTV,0.0,United States,-273505731.4,485903636.5543568,-0.688679,1948371426.8,1.47539953014,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
4Front Ventures,0.0,United States,-67864553.8,42310504.64844664,-0.533333,104138309.9,0.045771470572,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
KULR Technology,0.0,United States,-25761255.79,53132177.47462067,-1.4,12213481.4227,0.2753105261852,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Jushi Holdings,0.0,United States,24058954.4,101524432.8563544,-0.464912,334678153.6,0.51614637028,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
AMMO,0.0,United States,-34953350.99,166540060.51564607,-13.0909,181175208.4207,1.40235994944,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Sanara MedTech,0.0,United States,-8544916.484,258073434.44843543,-28.7143,92547504.7382,29.5042899307112,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Lightwave Logic,0.0,United States,-27867564.59,341501822.3081047,-16.3889,115379.1994,2.8289690396724,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Tile Shop Holdings,0.0,United States,9602365.3,285031654.19116366,22.7931,459709564.2,6.3836593531800006,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Heritage Global,0.0,United States,17159770.6,59365838.84943085,3.29,70319783.9,1.6068707754,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Golden Matrix Group,0.0,United States,1466134.072,286803645.0597216,-20.0,95023077.0778,2.3372665824000003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
American Battery Technology Company,0.0,United States,-64682979.47,67358527.05415528,-2.67337,439027.35,0.93490663296,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
AppTech Payments,0.0,United States,-15404939.3,14049976.52164346,-0.516379,581535.5,0.5655211268332,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Smith-Midland,0.0,United States,7960006.8,178414200.58843055,-257.199,87466773.5,33.3749007772732,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Red Cat Holdings,0.0,United States,-30094909.46,189469751.9951724,-4.74074,24111085.5428,2.51256157608,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Southern California Bancorp,0.0,United States,29677482.0,460846642.940416,11.8468,115840593.5,14.34984295486,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Quantum Computing,0.0,United States,-37998807.67,61012447.05217595,-0.871636,457621.1488,0.6476176155400001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Fairfax India Holdings,0.0,Canada,355072795.3,1976921529.9232087,6.63839,370657946.7,14.62739336152,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
IAC/InterActiveCorp,0.0,United States,-189419532.4,4597875308.449143,18.9273,5174492654.2,53.38706418632,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Match Group,0.0,United States,1183548718.2,9505672913.64973,20.8812,4436976552.1,36.858694004448,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
DoorDash,0.0,United States,-520186700.0,57159778684.40472,-52.8736,11647325300.0,138.89206665912,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Airbnb,0.0,United States,2519135100.0,78828032430.90442,15.0352,13426440500.0,124.64447911724,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Docebo,0.0,Canada,23749654.2,1297184449.0826638,192.87,255930578.3,42.8985803978,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Olema Pharmaceuticals,0.0,United States,-155451468.7,679272743.8796104,-5.05809,0.0,11.86162790568,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
908 Devices,0.0,United States,-48842591.5,120828252.56860615,-3.05042,67337976.6,3.48642265208,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Bally's Corporation,0.0,United States,-832995284.5,682581191.4723293,-2.38643,3175165936.6,16.799103561,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
BioAtla,0.0,United States,-133633023.6,79076685.74611895,-0.627099,0.0,1.6359892215724,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
PureTech Health,0.0,United States,-118585952.3,495470941.255644,-10.119,2671229.0,20.694547865,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Porch Group,0.0,United States,-107801344.5,158491215.5858352,-0.65625,601288535.5,1.57765494312,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
PubMatic,0.0,United States,13205329.2,714662761.8907871,186.375,360737334.5,14.4131439248,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Cullinan Therapeutics,0.0,United States,-234280842.4,965745525.4819274,-4.28678,0.0,16.6575041605496,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
4D Molecular Therapeutics,0.0,United States,-167709725.8,554192333.3811984,-3.30183,25840625.8,10.6637787822,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Eos Energy Enterprises,0.0,United States,-83977560.5,543234666.6989274,-0.700535,18906933.3,2.504770687472,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Orla Mining,0.0,Canada,48953786.2,1228460958.3443358,22.0556,341357504.2,3.84188194482,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
American Coastal Insurance Corporation,0.0,United States,133874584.5,529590078.3535293,-5.66169,330756942.8,10.99976085342,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AerSale,0.0,United States,-14059.1,261155245.0915476,-127.563,453146520.7,4.90825982304,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Ayr Wellness,0.0,United States,-112829389.9,189725963.1579351,-0.279146,593773307.5,1.6555638292,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Motorsport Gaming,0.0,United States,-88545.4899,6126917.4361308925,-0.10232,10674535.2718,1.57765494312,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Landsea Homes,0.0,United States,46788684.8,434614409.3617357,9.41667,1789527880.7,11.978491234800002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Aenza,0.0,Peru,84628624.64,173205041.06557238,-6.03752,1484947015.1041,1.88929048744,7.0,2.4,3.2,7.75,6.0,3.8,-3.2,-7.75,-6.0,0
Vincerx Pharma,0.0,United States,-36939646.2,20462149.553267665,-0.258491,0.0,0.6626150761103999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
ImmunoPrecise Antibodies,0.0,United States,-27657444.95,17534915.983304713,-1.03941,22561450.6416,0.62814039402,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Zoom Telephonics,0.0,United States,-11984730.919,5965019.849273425,-0.249143,11246798.1563,2.12301714568,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Ocuphire Pharma,0.0,United States,-18012263.3,33236569.65459386,1.44944,21023466.9,1.2686488237052,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Great Elm Group,0.0,United States,-1074882.1,56721860.5643111,5.02632,22793635.4,1.86007465516,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
180 Life Sciences,0.0,United States,-19043945.62,1670145.451090948,-0.0701461,0.0,1.62634799692,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Petros Pharmaceuticals,0.0,United States,-9018337.505,3231414.2077461723,-0.0328947,5266646.2204,0.3363716156504,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Blackboxstocks,0.0,United States,-4905207.209,9488602.118430356,-1.40782,3578677.4438,2.69759518052,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Netcapital,0.0,United States,-11527145.557,1245218.700077716,3.42553,4567741.5193,1.6068707754,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Vinco Ventures,0.0,United States,-434584674.4,34182.5237676,-5.92745e-05,38043827.4644,0.0026294249052,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Affirm,0.0,United States,-218905299.4,12522359830.523132,-12.4727,2969025021.9,40.24967827108,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
QuantumScape,0.0,United States,-594588735.3,2937592818.4912934,-6.13265,0.0,5.80421201296,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Opendoor,0.0,United States,-507405700.0,1416840157.3338866,-0.932432,5805130200.0,2.015405496782,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AbCellera,0.0,Canada,-228539617.2,753279828.2905062,-10.0385,42247595.5,2.5563853245,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Luminar Technologies,0.0,United States,-686789591.2,452347874.19349307,-0.606467,97764425.2,0.8936149233376001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Skillz,0.0,United States,-63354138.9,97440308.81204586,-0.428996,150893764.1,5.58996257624,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Maravai LifeSciences,0.0,United States,762114414.7,2044984477.9618475,14.7851,356059488.5,8.1073934577,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Sotera Health,0.0,United States,117963517.6,4606045644.495882,-15.2364,1403591526.6,16.2634799692,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Petco,0.0,United States,-1593087745.0,1247761420.1835976,36.0,7951746439.7,4.54793122492,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Certara,0.0,United States,-77445191.4,1837897672.592498,90.3846,464657089.3,11.42339042148,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Desktop Metal,0.0,United States,-475656417.9,151597307.56505144,-3.14765,223192046.8,4.5578646078952,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
MP Materials,0.0,United States,-47990098.8,2927186185.7783875,18.5758,221958680.3,17.699438125762,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Clover Health Investments,0.0,United States,-163521392.1,1356503900.981246,-5.1661,2167017271.9,2.7268110128,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Rush Street Interactive,0.0,United States,-12141950.0,2363082720.1999555,-27.4872,1024454664.5,10.47874517776,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Seer,0.0,United States,-128276506.5,116954770.7795921,-1.31208,17957305.0,1.90389840358,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Driven Brands,0.0,United States,-929418982.8,2261071941.1222463,-3.36706,2963278684.3,13.7801342254,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Upstart,0.0,United States,-257765929.9,3547102330.8024817,-12.4543,670810785.0,39.62640718244,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Canoo,0.0,United States,-364075731.7,82454129.44835024,-1.02885,1436584.4,1.00794621366,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Advantage Solutions,0.0,United States,-279682788.7,1080071704.9814005,-0.766376,5020591520.8,3.36955932296,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Telos,0.0,United States,-38437579.4,244880935.78718248,-5.8,173006172.2,3.38903654448,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Danimer Scientific,0.0,United States,-120289659.6,49398362.94568224,-0.218571,50798084.5,0.40902165192,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Hydrofarm,0.0,United States,-90250475.3,30225963.83791454,-0.345846,268806157.7,0.6573562263,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
ModivCare,0.0,United States,-95341147.6,203997936.18115816,-0.861094,3543541196.7,14.32549642796,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
K92 Mining,0.0,Canada,58377217.5,1335055779.4156373,44.5186,275710453.9,5.62178835620368,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
PopReach,0.0,Canada,-51113775.2,25586600.692013208,-1.81639,194411791.0,0.0789777959970176,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Playgon Games,0.0,Canada,-17139065.38,5852201.939063128,-0.310841,1120161.3487,0.0179495256500788,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Bumble,0.0,United States,160436058.7,1103846505.3117912,-9.59702,1387424839.7,6.315489077860001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Coinbase,0.0,United States,2075429904.0,44016716639.3615,-33.9663,6026421712.1,177.1453297244,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Roblox,0.0,United States,-1330949435.0,27889069628.826096,-23.5,4036248746.7,43.093352613,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Advent Technologies,0.0,United States,-90333551.8,5289244.014581961,-1.17978,6210287.9,2.00615381656,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Robinhood,0.0,United States,392376700.0,20212043174.99992,-25.6882,2860387800.0,22.84678084296,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Newegg,0.0,United States,-65639381.7,284285442.8802894,-12.6133,2049365610.7,0.73283045969,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Paysafe,0.0,United States,228652090.0,1307663505.8959682,-35.2602,2132654275.3,21.537911556816,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
SoFi,0.0,United States,-135739332.4,8211192214.549716,-17.6667,2968333569.8,7.70324111116,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Meta Materials,0.0,Canada,-498069179.5,3428491.552113064,-0.649136,12558155.5964,0.5120561537607999,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
The Beachbody Company,0.0,United States,-156766633.6,37381408.09382454,-0.352328,610278690.9,5.4049289718,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
AST SpaceMobile,0.0,United States,-378504202.6,7070021244.748885,-32.4872,1789340.0,24.99901382092,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
The Original BARK Company,0.0,United States,-40520882.4,273800433.8280886,-4.93939,620909926.7,1.57765494312,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Doximity,0.0,United States,240517970.4,7805481627.960931,69.1936,630907224.9,42.04158265092,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Talkspace,0.0,United States,-16521998.7,335001946.2695592,-6.76667,220520817.8,1.99154590042,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
WM Technology,0.0,United States,14446364.3,142910466.76713148,-0.704803,229324370.6,0.8521284414999999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Tempest Therapeutics,0.0,United States,-38672749.8,33879929.549509585,-0.57563,0.0,1.3440256709876,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
EverCommerce,0.0,United States,10481698.1,1862554152.2048533,-36.5923,884045154.7,10.10867796888,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
NRx Pharmaceuticals,0.0,United States,-31721163.9,17901169.5522111,-3.07018,0.0,1.66530243996,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
UiPath,0.0,United States,-247360917.8,6823323567.228955,-40.0,1767023095.9,12.40699010824,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
SentinelOne,0.0,United States,-350889574.0,7465375060.311854,-17.7059,924874059.2,23.5334502876476,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Confluent,0.0,United States,-423057490.5,6166318554.187403,-12.7922,1106308022.8,19.10715431112,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Lucid Motors,0.0,United States,-3301562358.0,8231489411.51388,-2.51049,854136336.6,3.54972362202,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Duolingo,0.0,United States,92828403.0,11841227245.71512,-356.449,810940390.9,271.97018269452,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Traeger,0.0,United States,-62343161.8,480372012.1520135,-1.64103,759950591.4,3.71041069956,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Microvast,0.0,United States,-192625007.2,83138153.88635541,-0.68296,409113419.5,0.2623581738744,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
DigitalOcean,0.0,United States,114658351.0,3682454622.8043847,-327.365,939584990.2,39.9995907467632,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Procore,0.0,United States,-171003389.5,8905623409.92192,-37.8354,1285656127.2,60.30147782592,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Bitfarms,0.0,Canada,-144697535.3,945993753.0473816,-3.81356,220730426.2,2.08893200802,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Assaí Atacadista,0.0,Brazil,891145000.2,1856587952.035905,12.7002,17207115733.7532,6.8656231996924,10.359,1.7,4.83,12.25,6.2,6.18,-4.83,-12.25,-6.2,0
dLocal,0.0,Uruguay,212610656.9,2224532798.204842,17.6778,904428293.5,7.810365829519999,22.0,2.6,6.5,11.0,7.8,45.0,-6.5,-11.0,-7.8,0
Jfrog,0.0,United States,-88389561.7,3161635090.556005,-40.6389,497500425.0,28.631515634400003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
DoubleDown Interactive,0.0,United States,193662824.4,714447110.0941176,-4.28904,424917126.0,14.4177210718572,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Hippo,0.0,United States,-203217900.0,416688821.21690494,-1.07245,379467890.0,16.72119467492,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Coursera,0.0,United States,-118210190.9,1269887543.8303175,-8.30303,861215732.5,8.09278554156,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Doma,0.0,United States,-100351299.6,86757582.58875121,-0.299904,389264526.5,6.11584755728,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Wheels Up,0.0,United States,-462743773.6,1644215309.2180429,-0.0923788,1226757444.9,2.35674380392,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Markforged,0.0,United States,-148277493.4,3564832.102753064,-0.486757,110530088.0,0.1753923797876,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Blend Labs,0.0,United States,-143460334.5,948301601.2343978,-2.83333,194427128.2,3.72988792108,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
stem,0.0,United States,-959151423.1,53388256.19227703,-0.530968,460923759.2,0.3282885687196,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Sprinklr,0.0,United States,47636065.1,1910561857.115708,281.511,988863413.8,7.53768472824,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Torrid,0.0,United States,94233034.9,422556949.68000495,20.85,1442925054.1,4.03665416002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Gold Royalty Corp,0.0,Canada,-38808228.4,224749528.932546,-13.8,8308928.1,1.32932036874,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Agilon Health,0.0,United States,-281272745.1,1482690991.6246984,-17.8095,6541668555.6,3.6032859812,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AEye,0.0,United States,-80539471.5,9826474.453998871,-2.05455,394932.9,1.10046301588,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Ouster,0.0,United States,-145681672.3,296992756.16259056,-0.470414,127282144.7,6.14506338956,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
N-Able,0.0,United States,110331982.5,2343939571.9834666,159.133,574094401.8,12.650455377240002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Aterian,0.0,United States,-27776947.3,24423808.61954705,-1.01394,154165700.1,2.8436743419200003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Matterport,0.0,United States,-340257060.1,1406321460.479396,-5.75641,207403677.5,4.4067213689,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Standard Lithium,0.0,Canada,169922116.9,295885483.9100672,-16.7161,0.0,1.5581777216,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
PowerSchool,0.0,United States,-85738782.3,3703992378.543429,-190.417,946891887.9,22.22350975432,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
CS Disco,0.0,United States,-35465996.9,335968764.3822575,-4.64,181823784.1,5.648394240800001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Semrush,0.0,United States,13154205.2,2188354653.902132,-108.34,433116137.5,14.94389821122,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Instructure Holdings,0.0,United States,3508384.5,3356376142.201573,-98.0,761998107.6,22.91495111828,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Mind Medicine,0.0,United States,-131867967.5,465502664.9538834,-2.9397,0.0,5.71656451612,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Joby Aviation,0.0,United States,-698600513.3,3588245203.2889395,-5.86517,1386738.5,5.010515236020001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Dutch Bros,0.0,United States,117505957.8,4887632541.707216,-4.67798e+18,1429742730.7,31.6991780238,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Owlet,0.0,United States,-13308855.3,66701498.0451768,-0.595461,83888093.5,4.382374842,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Li-Cycle,0.0,Canada,-232997630.0,45834896.19615773,-2.74026,30290970.0,2.03536964884,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Eterna Therapeutics,0.0,United States,-27737326.2,6428379.05378992,-0.203901,207052.2,1.18811051272,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Telus International,0.0,Canada,313134500.0,1026140618.6253612,10.2432,3404858400.0,3.72988792108,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Xponential Fitness,0.0,United States,17637780.0,576594628.4472947,-4.72692,417514370.8,11.96875262404,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
ATI Physical Therapy,0.0,United States,34350215.6,26144490.643454872,-0.0752639,932157951.1,5.9405525636,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Nerdy,0.0,United States,-71810048.5,168259665.44920385,-1.77855,255736307.1,0.9450347881504,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Zevia,0.0,United States,-44091893.8,67870715.65302241,-3.0,204634034.8,1.05176996208,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
New Pacific Metals,0.0,Canada,-9224213.853,244608597.4850012,-37.25,0.0,1.4111246991239998,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
GitLab,0.0,United States,-217014989.5,8056084971.430766,-40.6693,850215125.8,50.21714638394,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Toast,0.0,United States,-171265400.0,15487338183.415577,-38.8889,5604468500.0,27.5575416397872,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Formula One Group,0.0,United States,691452100.0,18806254735.9562,37.3923,4718745200.0,76.29714599921999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
AppLovin,0.0,United States,1126431707.3,42033378284.27174,2555.0,5055845353.1,125.75468074388,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ginkgo Bioworks,0.0,United States,-1059511669.4,429193166.2691905,-11.5571,235598563.5,7.72271833268,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,0
Olaplex,0.0,United States,78670889.3,1518224798.2759988,13.0,559962450.1,2.29344283398,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Marqeta,0.0,United States,-16390354.4,2467973011.707181,-12.7692,601922473.1,4.85469746386,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Freshworks,0.0,United States,-197760413.0,3389122805.198719,-20.0702,834516223.5,11.21887959552,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Wolfspeed,0.0,United States,-416916220.0,1244102320.27641,-1.79859,1031682320.0,9.8061967186744,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Victoria's Secret &amp; Co,0.0,United States,236448500.0,1970325078.0295296,10.6183,7827084400.0,25.09153062314,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
